method,dataset,split_id,loader_path,loader_evidence,status,train_hash,n_train,val_hash,n_val,test_hash,n_test
FairVGNN-SAGE,credit,23,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,27e25a962f451d8c,6000,7ee19a5e83bde2f0,7500,eb8b31b81ebe05eb,7500
NIFTY,credit,23,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,27e25a962f451d8c,6000,7ee19a5e83bde2f0,7500,eb8b31b81ebe05eb,7500
SFG,credit,23,get_dataset(fn=False),x31_sfg.py:164-165,ok,27e25a962f451d8c,6000,7ee19a5e83bde2f0,7500,eb8b31b81ebe05eb,7500
BeMap,credit,24,load_data(fn=False),x30_bemap.py:120-121,ok,0e1f8dd7c1b50bd7,6000,26b843527cff6ee9,7500,9f1a92e91ccacca7,7500
BeMap-GAT,credit,24,load_data(fn=False),x30_bemap.py:120-121,ok,0e1f8dd7c1b50bd7,6000,26b843527cff6ee9,7500,9f1a92e91ccacca7,7500
EDITS,credit,24,load_data(fn=False),x30_edits.py:78-79,ok,0e1f8dd7c1b50bd7,6000,26b843527cff6ee9,7500,9f1a92e91ccacca7,7500
FairEdit,credit,24,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,0e1f8dd7c1b50bd7,6000,26b843527cff6ee9,7500,9f1a92e91ccacca7,7500
FairGB,credit,24,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,0e1f8dd7c1b50bd7,6000,26b843527cff6ee9,7500,9f1a92e91ccacca7,7500
FairGNN,credit,24,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,0e1f8dd7c1b50bd7,6000,26b843527cff6ee9,7500,9f1a92e91ccacca7,7500
FairSIN-GCN,credit,24,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,0e1f8dd7c1b50bd7,6000,26b843527cff6ee9,7500,9f1a92e91ccacca7,7500
FairSIN-GIN,credit,24,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,0e1f8dd7c1b50bd7,6000,26b843527cff6ee9,7500,9f1a92e91ccacca7,7500
FairSIN-SAGE,credit,24,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,0e1f8dd7c1b50bd7,6000,26b843527cff6ee9,7500,9f1a92e91ccacca7,7500
FairVGNN,credit,24,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,0e1f8dd7c1b50bd7,6000,26b843527cff6ee9,7500,9f1a92e91ccacca7,7500
FairVGNN-GIN,credit,24,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,0e1f8dd7c1b50bd7,6000,26b843527cff6ee9,7500,9f1a92e91ccacca7,7500
FairVGNN-SAGE,credit,24,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,0e1f8dd7c1b50bd7,6000,26b843527cff6ee9,7500,9f1a92e91ccacca7,7500
NIFTY,credit,24,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,0e1f8dd7c1b50bd7,6000,26b843527cff6ee9,7500,9f1a92e91ccacca7,7500
SFG,credit,24,get_dataset(fn=False),x31_sfg.py:164-165,ok,0e1f8dd7c1b50bd7,6000,26b843527cff6ee9,7500,9f1a92e91ccacca7,7500
BeMap,credit,25,load_data(fn=False),x30_bemap.py:120-121,ok,090cbbebeb7e74a8,6000,3d584493b149d9dc,7500,8bae75b35a820538,7500
BeMap-GAT,credit,25,load_data(fn=False),x30_bemap.py:120-121,ok,090cbbebeb7e74a8,6000,3d584493b149d9dc,7500,8bae75b35a820538,7500
EDITS,credit,25,load_data(fn=False),x30_edits.py:78-79,ok,090cbbebeb7e74a8,6000,3d584493b149d9dc,7500,8bae75b35a820538,7500
FairEdit,credit,25,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,090cbbebeb7e74a8,6000,3d584493b149d9dc,7500,8bae75b35a820538,7500
FairGB,credit,25,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,090cbbebeb7e74a8,6000,3d584493b149d9dc,7500,8bae75b35a820538,7500
FairGNN,credit,25,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,090cbbebeb7e74a8,6000,3d584493b149d9dc,7500,8bae75b35a820538,7500
FairSIN-GCN,credit,25,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,090cbbebeb7e74a8,6000,3d584493b149d9dc,7500,8bae75b35a820538,7500
FairSIN-GIN,credit,25,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,090cbbebeb7e74a8,6000,3d584493b149d9dc,7500,8bae75b35a820538,7500
FairSIN-SAGE,credit,25,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,090cbbebeb7e74a8,6000,3d584493b149d9dc,7500,8bae75b35a820538,7500
FairVGNN,credit,25,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,090cbbebeb7e74a8,6000,3d584493b149d9dc,7500,8bae75b35a820538,7500
FairVGNN-GIN,credit,25,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,090cbbebeb7e74a8,6000,3d584493b149d9dc,7500,8bae75b35a820538,7500
FairVGNN-SAGE,credit,25,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,090cbbebeb7e74a8,6000,3d584493b149d9dc,7500,8bae75b35a820538,7500
NIFTY,credit,25,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,090cbbebeb7e74a8,6000,3d584493b149d9dc,7500,8bae75b35a820538,7500
SFG,credit,25,get_dataset(fn=False),x31_sfg.py:164-165,ok,090cbbebeb7e74a8,6000,3d584493b149d9dc,7500,8bae75b35a820538,7500
EDITS,german,20,load_data(fn=False),x30_edits.py:78-79,ok,e779ee4d5b7e1c9a,100,285425e0389105c8,250,be9b7b257b852fcb,250
FairEdit,german,20,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,e779ee4d5b7e1c9a,100,285425e0389105c8,250,be9b7b257b852fcb,250
FairGB,german,20,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,e779ee4d5b7e1c9a,100,285425e0389105c8,250,be9b7b257b852fcb,250
FairGNN,german,20,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,e779ee4d5b7e1c9a,100,285425e0389105c8,250,be9b7b257b852fcb,250
FairSIN-GCN,german,20,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,e779ee4d5b7e1c9a,100,285425e0389105c8,250,be9b7b257b852fcb,250
FairSIN-GIN,german,20,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,e779ee4d5b7e1c9a,100,285425e0389105c8,250,be9b7b257b852fcb,250
FairSIN-SAGE,german,20,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,e779ee4d5b7e1c9a,100,285425e0389105c8,250,be9b7b257b852fcb,250
FairVGNN,german,20,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,e779ee4d5b7e1c9a,100,285425e0389105c8,250,be9b7b257b852fcb,250
FairVGNN-GCNspmm,german,20,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,e779ee4d5b7e1c9a,100,285425e0389105c8,250,be9b7b257b852fcb,250
FairVGNN-GIN,german,20,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,e779ee4d5b7e1c9a,100,285425e0389105c8,250,be9b7b257b852fcb,250
FairVGNN-SAGE,german,20,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,e779ee4d5b7e1c9a,100,285425e0389105c8,250,be9b7b257b852fcb,250
FnRGNN,german,20,load_data(fn=False),x31_fnrgnn.py:116-117,ok,e779ee4d5b7e1c9a,100,285425e0389105c8,250,be9b7b257b852fcb,250
NIFTY,german,20,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,e779ee4d5b7e1c9a,100,285425e0389105c8,250,be9b7b257b852fcb,250
SFG,german,20,get_dataset(fn=False),x31_sfg.py:164-165,ok,e779ee4d5b7e1c9a,100,285425e0389105c8,250,be9b7b257b852fcb,250
EDITS,german,21,load_data(fn=False),x30_edits.py:78-79,ok,a6ca342728512d96,100,57e5b636ba1cd699,250,de44939e7f277158,250
FairEdit,german,21,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,a6ca342728512d96,100,57e5b636ba1cd699,250,de44939e7f277158,250
FairGB,german,21,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,a6ca342728512d96,100,57e5b636ba1cd699,250,de44939e7f277158,250
FairGNN,german,21,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,a6ca342728512d96,100,57e5b636ba1cd699,250,de44939e7f277158,250
FairSIN-GCN,german,21,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,a6ca342728512d96,100,57e5b636ba1cd699,250,de44939e7f277158,250
FairSIN-GIN,german,21,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,a6ca342728512d96,100,57e5b636ba1cd699,250,de44939e7f277158,250
FairSIN-SAGE,german,21,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,a6ca342728512d96,100,57e5b636ba1cd699,250,de44939e7f277158,250
FairVGNN,german,21,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,a6ca342728512d96,100,57e5b636ba1cd699,250,de44939e7f277158,250
FairVGNN-GCNspmm,german,21,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,a6ca342728512d96,100,57e5b636ba1cd699,250,de44939e7f277158,250
FairVGNN-GIN,german,21,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,a6ca342728512d96,100,57e5b636ba1cd699,250,de44939e7f277158,250
FairVGNN-SAGE,german,21,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,a6ca342728512d96,100,57e5b636ba1cd699,250,de44939e7f277158,250
FnRGNN,german,21,load_data(fn=False),x31_fnrgnn.py:116-117,ok,a6ca342728512d96,100,57e5b636ba1cd699,250,de44939e7f277158,250
NIFTY,german,21,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,a6ca342728512d96,100,57e5b636ba1cd699,250,de44939e7f277158,250
SFG,german,21,get_dataset(fn=False),x31_sfg.py:164-165,ok,a6ca342728512d96,100,57e5b636ba1cd699,250,de44939e7f277158,250
EDITS,german,22,load_data(fn=False),x30_edits.py:78-79,ok,e4710f3af185e7b7,100,b0fd3f2dbb94c20d,250,5544f6778801580f,250
FairEdit,german,22,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,e4710f3af185e7b7,100,b0fd3f2dbb94c20d,250,5544f6778801580f,250
FairGB,german,22,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,e4710f3af185e7b7,100,b0fd3f2dbb94c20d,250,5544f6778801580f,250
FairGNN,german,22,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,e4710f3af185e7b7,100,b0fd3f2dbb94c20d,250,5544f6778801580f,250
FairSIN-GCN,german,22,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,e4710f3af185e7b7,100,b0fd3f2dbb94c20d,250,5544f6778801580f,250
FairSIN-GIN,german,22,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,e4710f3af185e7b7,100,b0fd3f2dbb94c20d,250,5544f6778801580f,250
FairSIN-SAGE,german,22,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,e4710f3af185e7b7,100,b0fd3f2dbb94c20d,250,5544f6778801580f,250
FairVGNN,german,22,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,e4710f3af185e7b7,100,b0fd3f2dbb94c20d,250,5544f6778801580f,250
FairVGNN-GCNspmm,german,22,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,e4710f3af185e7b7,100,b0fd3f2dbb94c20d,250,5544f6778801580f,250
FairVGNN-GIN,german,22,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,e4710f3af185e7b7,100,b0fd3f2dbb94c20d,250,5544f6778801580f,250
FairVGNN-SAGE,german,22,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,e4710f3af185e7b7,100,b0fd3f2dbb94c20d,250,5544f6778801580f,250
FnRGNN,german,22,load_data(fn=False),x31_fnrgnn.py:116-117,ok,e4710f3af185e7b7,100,b0fd3f2dbb94c20d,250,5544f6778801580f,250
NIFTY,german,22,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,e4710f3af185e7b7,100,b0fd3f2dbb94c20d,250,5544f6778801580f,250
SFG,german,22,get_dataset(fn=False),x31_sfg.py:164-165,ok,e4710f3af185e7b7,100,b0fd3f2dbb94c20d,250,5544f6778801580f,250
EDITS,german,23,load_data(fn=False),x30_edits.py:78-79,ok,02589629b02376a2,100,f6ca0d16f2175971,250,b2bdd3786c6065d2,250
FairEdit,german,23,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,02589629b02376a2,100,f6ca0d16f2175971,250,b2bdd3786c6065d2,250
FairGB,german,23,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,02589629b02376a2,100,f6ca0d16f2175971,250,b2bdd3786c6065d2,250
FairGNN,german,23,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,02589629b02376a2,100,f6ca0d16f2175971,250,b2bdd3786c6065d2,250
FairSIN-GCN,german,23,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,02589629b02376a2,100,f6ca0d16f2175971,250,b2bdd3786c6065d2,250
FairSIN-GIN,german,23,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,02589629b02376a2,100,f6ca0d16f2175971,250,b2bdd3786c6065d2,250
FairSIN-SAGE,german,23,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,02589629b02376a2,100,f6ca0d16f2175971,250,b2bdd3786c6065d2,250
FairVGNN,german,23,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,02589629b02376a2,100,f6ca0d16f2175971,250,b2bdd3786c6065d2,250
FairVGNN-GCNspmm,german,23,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,02589629b02376a2,100,f6ca0d16f2175971,250,b2bdd3786c6065d2,250
FairVGNN-GIN,german,23,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,02589629b02376a2,100,f6ca0d16f2175971,250,b2bdd3786c6065d2,250
FairVGNN-SAGE,german,23,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,02589629b02376a2,100,f6ca0d16f2175971,250,b2bdd3786c6065d2,250
FnRGNN,german,23,load_data(fn=False),x31_fnrgnn.py:116-117,ok,02589629b02376a2,100,f6ca0d16f2175971,250,b2bdd3786c6065d2,250
NIFTY,german,23,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,02589629b02376a2,100,f6ca0d16f2175971,250,b2bdd3786c6065d2,250
SFG,german,23,get_dataset(fn=False),x31_sfg.py:164-165,ok,02589629b02376a2,100,f6ca0d16f2175971,250,b2bdd3786c6065d2,250
EDITS,german,24,load_data(fn=False),x30_edits.py:78-79,ok,f68b6fadb2260379,100,a1dcbbf9bc282003,250,6b68a32f62aa9a12,250
FairEdit,german,24,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,f68b6fadb2260379,100,a1dcbbf9bc282003,250,6b68a32f62aa9a12,250
FairGB,german,24,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,f68b6fadb2260379,100,a1dcbbf9bc282003,250,6b68a32f62aa9a12,250
FairGNN,german,24,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,f68b6fadb2260379,100,a1dcbbf9bc282003,250,6b68a32f62aa9a12,250
FairSIN-GCN,german,24,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,f68b6fadb2260379,100,a1dcbbf9bc282003,250,6b68a32f62aa9a12,250
FairSIN-GIN,german,24,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,f68b6fadb2260379,100,a1dcbbf9bc282003,250,6b68a32f62aa9a12,250
FairSIN-SAGE,german,24,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,f68b6fadb2260379,100,a1dcbbf9bc282003,250,6b68a32f62aa9a12,250
FairVGNN,german,24,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,f68b6fadb2260379,100,a1dcbbf9bc282003,250,6b68a32f62aa9a12,250
FairVGNN-GCNspmm,german,24,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,f68b6fadb2260379,100,a1dcbbf9bc282003,250,6b68a32f62aa9a12,250
FairVGNN-GIN,german,24,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,f68b6fadb2260379,100,a1dcbbf9bc282003,250,6b68a32f62aa9a12,250
FairVGNN-SAGE,german,24,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,f68b6fadb2260379,100,a1dcbbf9bc282003,250,6b68a32f62aa9a12,250
FnRGNN,german,24,load_data(fn=False),x31_fnrgnn.py:116-117,ok,f68b6fadb2260379,100,a1dcbbf9bc282003,250,6b68a32f62aa9a12,250
NIFTY,german,24,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,f68b6fadb2260379,100,a1dcbbf9bc282003,250,6b68a32f62aa9a12,250
SFG,german,24,get_dataset(fn=False),x31_sfg.py:164-165,ok,f68b6fadb2260379,100,a1dcbbf9bc282003,250,6b68a32f62aa9a12,250
EDITS,german,25,load_data(fn=False),x30_edits.py:78-79,ok,ddd32e0a33444c8f,100,004f36d182755914,250,caa0d09f26e20c5d,250
FairEdit,german,25,load_data(fn=False),x30_fairedit.py:53-54 (fn=True on german only),ok,ddd32e0a33444c8f,100,004f36d182755914,250,caa0d09f26e20c5d,250
FairGB,german,25,load_data(fn=True),"pilot_tau.py:60-71; _NORMALIZE[""FairGB""]=True",ok,ddd32e0a33444c8f,100,004f36d182755914,250,caa0d09f26e20c5d,250
FairGNN,german,25,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,ddd32e0a33444c8f,100,004f36d182755914,250,caa0d09f26e20c5d,250
FairSIN-GCN,german,25,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,ddd32e0a33444c8f,100,004f36d182755914,250,caa0d09f26e20c5d,250
FairSIN-GIN,german,25,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,ddd32e0a33444c8f,100,004f36d182755914,250,caa0d09f26e20c5d,250
FairSIN-SAGE,german,25,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,ddd32e0a33444c8f,100,004f36d182755914,250,caa0d09f26e20c5d,250
FairVGNN,german,25,load_data(fn=True),pilot_tau.py:60-71; normalize=german only,ok,ddd32e0a33444c8f,100,004f36d182755914,250,caa0d09f26e20c5d,250
FairVGNN-GCNspmm,german,25,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,ddd32e0a33444c8f,100,004f36d182755914,250,caa0d09f26e20c5d,250
FairVGNN-GIN,german,25,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,ddd32e0a33444c8f,100,004f36d182755914,250,caa0d09f26e20c5d,250
FairVGNN-SAGE,german,25,load_data(fn=True),x31_fairvgnn_config_run.py:70,ok,ddd32e0a33444c8f,100,004f36d182755914,250,caa0d09f26e20c5d,250
FnRGNN,german,25,load_data(fn=False),x31_fnrgnn.py:116-117,ok,ddd32e0a33444c8f,100,004f36d182755914,250,caa0d09f26e20c5d,250
NIFTY,german,25,load_data(fn=False),"pilot_tau.py:60-71; _NORMALIZE[""NIFTY""]=False",ok,ddd32e0a33444c8f,100,004f36d182755914,250,caa0d09f26e20c5d,250
SFG,german,25,get_dataset(fn=False),x31_sfg.py:164-165,ok,ddd32e0a33444c8f,100,004f36d182755914,250,caa0d09f26e20c5d,250
BIND-10pct,income,20,load_data(fn=False),x30_bind.py:169-171,ok,9389e002f222e3cb,4605,d1207bc90513e61f,3705,694c232c79de8bd8,3706
BIND-1pct,income,20,load_data(fn=False),x30_bind.py:169-171,ok,9389e002f222e3cb,4605,d1207bc90513e61f,3705,694c232c79de8bd8,3706
BIND-10pct,income,21,load_data(fn=False),x30_bind.py:169-171,ok,fe644a1ef128ac9e,4605,1419ea3d13a5c989,3705,6c37052f58545eb2,3706
BIND-1pct,income,21,load_data(fn=False),x30_bind.py:169-171,ok,fe644a1ef128ac9e,4605,1419ea3d13a5c989,3705,6c37052f58545eb2,3706
BIND-10pct,income,22,load_data(fn=False),x30_bind.py:169-171,ok,28555867cc15269f,4605,e6625540d0be36e5,3705,6b46c76374c6d5a1,3706
BIND-1pct,income,22,load_data(fn=False),x30_bind.py:169-171,ok,28555867cc15269f,4605,e6625540d0be36e5,3705,6b46c76374c6d5a1,3706
BIND-10pct,income,23,load_data(fn=False),x30_bind.py:169-171,ok,38850328dda9be59,4605,48c138db33923c74,3705,94ec84dc40256a05,3706
BIND-1pct,income,23,load_data(fn=False),x30_bind.py:169-171,ok,38850328dda9be59,4605,48c138db33923c74,3705,94ec84dc40256a05,3706
BIND-10pct,income,24,load_data(fn=False),x30_bind.py:169-171,ok,f8aa0764b635d9ba,4605,3a6cd1612606123b,3705,ce3aa237a11d6553,3706
BIND-1pct,income,24,load_data(fn=False),x30_bind.py:169-171,ok,f8aa0764b635d9ba,4605,3a6cd1612606123b,3705,ce3aa237a11d6553,3706
BIND-10pct,income,25,load_data(fn=False),x30_bind.py:169-171,ok,9e238e3a20961f2d,4605,b73e6c62f90b7841,3705,9401acc63f126fd6,3706
BIND-1pct,income,25,load_data(fn=False),x30_bind.py:169-171,ok,9e238e3a20961f2d,4605,b73e6c62f90b7841,3705,9401acc63f126fd6,3706
FairGNN,pokec_n,20,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,aaf673574cb5baab,500,cdcea14d166ae97c,2199,f1fb31ef56358fa2,2200
FairGNN-upstreamGAT,pokec_n,20,load_data(fn=True),x31_fairgnn_config_run.py:109,ok,aaf673574cb5baab,500,cdcea14d166ae97c,2199,f1fb31ef56358fa2,2200
FairGNN-upstreamGCN,pokec_n,20,load_data(fn=True),x31_fairgnn_config_run.py:109,ok,aaf673574cb5baab,500,cdcea14d166ae97c,2199,f1fb31ef56358fa2,2200
FairSIN-GCN,pokec_n,20,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,aaf673574cb5baab,500,cdcea14d166ae97c,2199,f1fb31ef56358fa2,2200
FairSIN-GIN,pokec_n,20,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,aaf673574cb5baab,500,cdcea14d166ae97c,2199,f1fb31ef56358fa2,2200
FairSIN-SAGE,pokec_n,20,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,aaf673574cb5baab,500,cdcea14d166ae97c,2199,f1fb31ef56358fa2,2200
FnRGNN,pokec_n,20,load_data(fn=False),x31_fnrgnn.py:116-117,ok,aaf673574cb5baab,500,cdcea14d166ae97c,2199,f1fb31ef56358fa2,2200
FairGNN,pokec_n,21,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,bf388be8e9c2b67e,500,1d99c79863b49611,2199,0a1e0968d7114c36,2200
FairGNN-upstreamGAT,pokec_n,21,load_data(fn=True),x31_fairgnn_config_run.py:109,ok,bf388be8e9c2b67e,500,1d99c79863b49611,2199,0a1e0968d7114c36,2200
FairGNN-upstreamGCN,pokec_n,21,load_data(fn=True),x31_fairgnn_config_run.py:109,ok,bf388be8e9c2b67e,500,1d99c79863b49611,2199,0a1e0968d7114c36,2200
FairSIN-GCN,pokec_n,21,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,bf388be8e9c2b67e,500,1d99c79863b49611,2199,0a1e0968d7114c36,2200
FairSIN-GIN,pokec_n,21,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,bf388be8e9c2b67e,500,1d99c79863b49611,2199,0a1e0968d7114c36,2200
FairSIN-SAGE,pokec_n,21,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,bf388be8e9c2b67e,500,1d99c79863b49611,2199,0a1e0968d7114c36,2200
FnRGNN,pokec_n,21,load_data(fn=False),x31_fnrgnn.py:116-117,ok,bf388be8e9c2b67e,500,1d99c79863b49611,2199,0a1e0968d7114c36,2200
FairGNN,pokec_n,22,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,e73357f0d861ada0,500,910204793256362e,2199,6940f55e5da5a71b,2200
FairGNN-upstreamGAT,pokec_n,22,load_data(fn=True),x31_fairgnn_config_run.py:109,ok,e73357f0d861ada0,500,910204793256362e,2199,6940f55e5da5a71b,2200
FairGNN-upstreamGCN,pokec_n,22,load_data(fn=True),x31_fairgnn_config_run.py:109,ok,e73357f0d861ada0,500,910204793256362e,2199,6940f55e5da5a71b,2200
FairSIN-GCN,pokec_n,22,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,e73357f0d861ada0,500,910204793256362e,2199,6940f55e5da5a71b,2200
FairSIN-GIN,pokec_n,22,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,e73357f0d861ada0,500,910204793256362e,2199,6940f55e5da5a71b,2200
FairSIN-SAGE,pokec_n,22,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,e73357f0d861ada0,500,910204793256362e,2199,6940f55e5da5a71b,2200
FnRGNN,pokec_n,22,load_data(fn=False),x31_fnrgnn.py:116-117,ok,e73357f0d861ada0,500,910204793256362e,2199,6940f55e5da5a71b,2200
FairGNN,pokec_n,23,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,a6f365a053888fa5,500,b16b1ae724697d08,2199,c9e3c4ecbdde204b,2200
FairGNN-upstreamGAT,pokec_n,23,load_data(fn=True),x31_fairgnn_config_run.py:109,ok,a6f365a053888fa5,500,b16b1ae724697d08,2199,c9e3c4ecbdde204b,2200
FairGNN-upstreamGCN,pokec_n,23,load_data(fn=True),x31_fairgnn_config_run.py:109,ok,a6f365a053888fa5,500,b16b1ae724697d08,2199,c9e3c4ecbdde204b,2200
FairSIN-GCN,pokec_n,23,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,a6f365a053888fa5,500,b16b1ae724697d08,2199,c9e3c4ecbdde204b,2200
FairSIN-GIN,pokec_n,23,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,a6f365a053888fa5,500,b16b1ae724697d08,2199,c9e3c4ecbdde204b,2200
FairSIN-SAGE,pokec_n,23,get_dataset(fn=True),x30_fairsin.py:185-186 (fn=False on german),ok,a6f365a053888fa5,500,b16b1ae724697d08,2199,c9e3c4ecbdde204b,2200
FnRGNN,pokec_n,23,load_data(fn=False),x31_fnrgnn.py:116-117,ok,a6f365a053888fa5,500,b16b1ae724697d08,2199,c9e3c4ecbdde204b,2200
FairGNN,pokec_n,24,load_data(fn=True),"pilot_tau.py:60-71 via published(""FairGNN"") normalize=german/nba",ok,e9f243fc72b834c1,500,0c425f54053b56bd,2199,d70f84dc47eff6fc,2200
