method,backbone,dataset,configuration,protocol,intervention_I,M_plus_I,M_minus_I,horizon,selector,optimizer_and_hyperparameters,preprocessing,configuration_source,provenance,caveat,native_evaluation_role,baseline_reference_protocol
FairSIN,SAGE,pokec_n,SAGE,controlled,neutralisation x + delta*MLP(x),"delta=1.0, d='no'","delta=0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:113 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",,same_protocol
FairSIN,SAGE,pokec_n,SAGE,native,neutralisation x + delta*MLP(x),"delta=1.0, d='no'","delta=0, d='no'",native horizon = 150,"val AUC+F1+ACC - alpha*(DP+EO), strict >, floor 0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:113 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled",systematic,controlled_fixed_reference
EDITS,GCN,german,default,controlled,debiasing stage EDITS.fit: attribute debiasing (4 lowest-weight columns zeroed) + structural debiasing binarised at threshold,"fit() then predict(), threshold_proportion=0.29",stage bypassed: original features and adjacency into the same predict(),H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05; debiaser dropout=0.3; debias fit epochs=100; nhid=50,load_data(feature_normalize=False); features / column norm,utils/param.json[EDITS] + train_baselines.py:567-587,local-unverified (repository wrapper),wrapper param routing repaired ; upstream repo not vendored,,same_protocol
EDITS,GCN,bail,default,controlled,debiasing stage EDITS.fit: attribute debiasing (4 lowest-weight columns zeroed) + structural debiasing binarised at threshold,"fit() then predict(), threshold_proportion=0.05",stage bypassed: original features and adjacency into the same predict(),H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05; debiaser dropout=0.1; debias fit epochs=500; nhid=50,load_data(feature_normalize=False),utils/param.json[EDITS] + train_baselines.py:567-587,local-unverified (repository wrapper),wrapper param routing repaired ; upstream repo not vendored,,same_protocol
EDITS,GCN,credit,default,controlled,debiasing stage EDITS.fit: attribute debiasing (4 lowest-weight columns zeroed) + structural debiasing binarised at threshold,"fit() then predict(), threshold_proportion=0.01",stage bypassed: original features and adjacency into the same predict(),H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05; debiaser dropout=0.8; debias fit epochs=500; nhid=50,load_data(feature_normalize=False); features / column norm,utils/param.json[EDITS] + train_baselines.py:567-587,local-unverified (repository wrapper),wrapper param routing repaired ; upstream repo not vendored,,same_protocol
FairEdit,GCN,german,default,controlled,gradient-guided edge editing (fair_graph_edit while epoch < edit_num),edit_num=10,edit_num=0,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=0.005; hidden=4; dropout=0.2; model=gcn,load_data(feature_normalize=True); fit() feature_norm keeping the sensitive column,utils/param.json[FairEdit] + train_baselines.py:550-565,local-unverified (repository wrapper),"the repository default deletes 10 undirected edges per run (20 directed entries of 44,484 on german, 642,616 on bail, 2,873,716 on credit); the edge-addition branch is disabled (add=False)",,same_protocol
FairEdit,GCN,bail,default,controlled,gradient-guided edge editing (fair_graph_edit while epoch < edit_num),edit_num=10,edit_num=0,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=0.0001; hidden=32; dropout=0.2; model=gcn,load_data(feature_normalize=False); fit() feature_norm keeping the sensitive column,utils/param.json[FairEdit] + train_baselines.py:550-565,local-unverified (repository wrapper),"the repository default deletes 10 undirected edges per run (20 directed entries of 44,484 on german, 642,616 on bail, 2,873,716 on credit); the edge-addition branch is disabled (add=False)",,same_protocol
FairEdit,GCN,credit,default,controlled,gradient-guided edge editing (fair_graph_edit while epoch < edit_num),edit_num=10,edit_num=0,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=0.001; hidden=16; dropout=0.2; model=gcn,load_data(feature_normalize=False); fit() feature_norm keeping the sensitive column,utils/param.json[FairEdit] + train_baselines.py:550-565,local-unverified (repository wrapper),"the repository default deletes 10 undirected edges per run (20 directed entries of 44,484 on german, 642,616 on bail, 2,873,716 on credit); the edge-addition branch is disabled (add=False)",,same_protocol
BeMap,GCN,bail,default,controlled,balance-aware per-epoch subgraph sampling,"train(epoch, ...) -- a fair subgraph each epoch","train(-1, ...) -- the model's own full-graph branch",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05; hidden=128; dropout=0.5; beta=0.25; lam=0.5; save_num=4; model=gcn,BeMap's own feature_norm (all columns),BeMap-main/README.md command + train_bemap.py parser defaults,official-repo,controlled only (native selects on test),,same_protocol
BeMap,GCN,credit,default,controlled,balance-aware per-epoch subgraph sampling,"train(epoch, ...) -- a fair subgraph each epoch","train(-1, ...) -- the model's own full-graph branch",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05; hidden=128; dropout=0.5; beta=0.25; lam=0.5; save_num=4; model=gcn,BeMap's own feature_norm (all columns),BeMap-main/README.md command + train_bemap.py parser defaults,official-repo,controlled only (native selects on test),,same_protocol
BeMap,GCN,pokec_z,default,controlled,balance-aware per-epoch subgraph sampling,"train(epoch, ...) -- a fair subgraph each epoch","train(-1, ...) -- the model's own full-graph branch",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05; hidden=128; dropout=0.5; beta=0.25; lam=0.5; save_num=4; model=gcn,BeMap's own feature_norm (all columns),BeMap-main/README.md command + train_bemap.py parser defaults,official-repo,controlled only (native selects on test),,same_protocol
GEAR,SAGE,bail,default,controlled,counterfactual-consistency (similarity) objective,sim_coeff=0.6,sim_coeff=0,H = 200 mini-batch steps,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05; hidden_size=1024; proj_hidden=16; dropout=0.5; batch_size=100; subgraph_size=30; n_order=10,GEAR feature_norm with the sensitive column kept; PPR subgraphs,"GEAR-main/src/main.py parser defaults, --dataset bail",official-repo (released aug assets),"released counterfactual assets are sensitive-attribute flips on the unchanged graph, not CFGT outputs",,same_protocol
BIND,GCN,bail,1pct,controlled,influence-guided deletion of training nodes (helpfulness_collection=1 ranking),k = round(0.01 * |train|) most harmful training nodes deleted,"k = 0 (same Stage-A model, same retraining)",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0","Stage A pretrain: lr=0.001, weight_decay=0.0001, hidden=16, dropout=0.5, epochs=1000; influence: scale=25, damp=0.03, recursion_depth=5000; Stage B retrain: lr=0.01, weight_decay=0.0",each official script's own (1_training full feature_norm; 2_influence keeps the sensitive column raw),BIND-main parser defaults + README.md:55 (scale 25),official-repo,"primary budget; fairness cost moved to validation nodes (leakage removed, estimator unchanged)",,same_protocol
BIND,GCN,income,1pct,controlled,influence-guided deletion of training nodes (helpfulness_collection=1 ranking),k = round(0.01 * |train|) most harmful training nodes deleted,"k = 0 (same Stage-A model, same retraining)",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0","Stage A pretrain: lr=0.001, weight_decay=0.0001, hidden=16, dropout=0.5, epochs=1000; influence: scale=25, damp=0.03, recursion_depth=5000; Stage B retrain: lr=0.01, weight_decay=0.0",each official script's own (1_training full feature_norm; 2_influence keeps the sensitive column raw),BIND-main parser defaults + README.md:55 (scale 25),official-repo,"primary budget; fairness cost moved to validation nodes (leakage removed, estimator unchanged)",,same_protocol
BIND,GCN,bail,10pct,controlled,influence-guided deletion of training nodes (helpfulness_collection=1 ranking),k = round(0.1 * |train|) most harmful training nodes deleted,"k = 0 (same Stage-A model, same retraining)",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0","Stage A pretrain: lr=0.001, weight_decay=0.0001, hidden=16, dropout=0.5, epochs=1000; influence: scale=25, damp=0.03, recursion_depth=5000; Stage B retrain: lr=0.01, weight_decay=0.0",each official script's own (1_training full feature_norm; 2_influence keeps the sensitive column raw),BIND-main parser defaults + README.md:55 (scale 25),official-repo,"budget variant, reported apart, never pooled; fairness cost moved to validation nodes (leakage removed, estimator unchanged)",,same_protocol
BIND,GCN,income,10pct,controlled,influence-guided deletion of training nodes (helpfulness_collection=1 ranking),k = round(0.1 * |train|) most harmful training nodes deleted,"k = 0 (same Stage-A model, same retraining)",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0","Stage A pretrain: lr=0.001, weight_decay=0.0001, hidden=16, dropout=0.5, epochs=1000; influence: scale=25, damp=0.03, recursion_depth=5000; Stage B retrain: lr=0.01, weight_decay=0.0",each official script's own (1_training full feature_norm; 2_influence keeps the sensitive column raw),BIND-main parser defaults + README.md:55 (scale 25),official-repo,"budget variant, reported apart, never pooled; fairness cost moved to validation nodes (leakage removed, estimator unchanged)",,same_protocol
SFG,SAGE,german,default,controlled,Lipschitz constraint on the encoder (rho) with the stronger chi-square DRO generator loss,"with_constraint, rho=2.0, loss_alpha=0.5","no constraint, loss_alpha=1 (the authors' FairVGNN row)",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=16; c_lr=0.001; e_lr=0.01; c_wd=0.0; e_wd=0.0; top_k=10; clip_e=0.1; ratio=0.5; d_epochs=5; g_epochs=10; c_epochs=10; K=10; dropout=0.5,german raw; others normalised with the sensitive column kept,"SFG-main/run.sh ablation ladder, script sfg.py",official-repo,,,same_protocol
SFG,SAGE,german,default,native,Lipschitz constraint on the encoder (rho) with the stronger chi-square DRO generator loss,"with_constraint, rho=2.0, loss_alpha=0.5","no constraint, loss_alpha=1 (the authors' FairVGNN row)",native horizon = 200,"the script's validation trade-off, strict >, floor 0 (validation-only at the published horizon)",hidden=16; c_lr=0.001; e_lr=0.01; c_wd=0.0; e_wd=0.0; top_k=10; clip_e=0.1; ratio=0.5; d_epochs=5; g_epochs=10; c_epochs=10; K=10; dropout=0.5,german raw; others normalised with the sensitive column kept,"SFG-main/run.sh ablation ladder, script sfg.py",official-repo,,re_execution,controlled_fixed_reference
SFG,SAGE,bail,default,controlled,Lipschitz constraint on the encoder (rho) with the stronger chi-square DRO generator loss,"with_constraint, rho=2.0, loss_alpha=0.5","no constraint, loss_alpha=1 (the authors' FairVGNN row)",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=16; c_lr=0.01; e_lr=0.001; c_wd=0.0; e_wd=0.0; top_k=10; clip_e=0.1; ratio=1.0; d_epochs=5; g_epochs=10; c_epochs=5; K=10; dropout=0.5,german raw; others normalised with the sensitive column kept,"SFG-main/run.sh ablation ladder, script sfg.py",official-repo,,,same_protocol
SFG,SAGE,bail,default,native,Lipschitz constraint on the encoder (rho) with the stronger chi-square DRO generator loss,"with_constraint, rho=2.0, loss_alpha=0.5","no constraint, loss_alpha=1 (the authors' FairVGNN row)",native horizon = 160,"the script's validation trade-off, strict >, floor 0 (validation-only at the published horizon)",hidden=16; c_lr=0.01; e_lr=0.001; c_wd=0.0; e_wd=0.0; top_k=10; clip_e=0.1; ratio=1.0; d_epochs=5; g_epochs=10; c_epochs=5; K=10; dropout=0.5,german raw; others normalised with the sensitive column kept,"SFG-main/run.sh ablation ladder, script sfg.py",official-repo,,systematic,controlled_fixed_reference
SFG,SAGE,credit,default,controlled,Lipschitz constraint on the encoder (rho) with the stronger chi-square DRO generator loss,"with_constraint, rho=2.0, loss_alpha=0.5","no constraint, loss_alpha=1 (the authors' FairVGNN row)",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=16; c_lr=0.01; e_lr=0.001; c_wd=0.0; e_wd=0.0; top_k=10; clip_e=0.1; ratio=0.0; d_epochs=5; g_epochs=5; c_epochs=10; K=10; dropout=0.5,german raw; others normalised with the sensitive column kept,"SFG-main/run.sh ablation ladder, script sfg_credit.py",official-repo,,,same_protocol
SFG,SAGE,credit,default,native,Lipschitz constraint on the encoder (rho) with the stronger chi-square DRO generator loss,"with_constraint, rho=2.0, loss_alpha=0.5","no constraint, loss_alpha=1 (the authors' FairVGNN row)",native horizon = 200,"the script's validation trade-off, strict >, floor 0 (validation-only at the published horizon)",hidden=16; c_lr=0.01; e_lr=0.001; c_wd=0.0; e_wd=0.0; top_k=10; clip_e=0.1; ratio=0.0; d_epochs=5; g_epochs=5; c_epochs=10; K=10; dropout=0.5,german raw; others normalised with the sensitive column kept,"SFG-main/run.sh ablation ladder, script sfg_credit.py",official-repo,,re_execution,controlled_fixed_reference
FairVGNN,GCN,german,GCNspmm,controlled,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=yes, weight_clip=yes","f_mask=no, weight_clip=no",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",encoder=GCN; clip_e=0.1; d_epochs=5; g_epochs=5; c_epochs=5; c_lr=0.01; e_lr=0.001; c_wd=0; e_wd=0; ratio=0.5; top_k=10; alpha=1; hidden=16; dropout=0.5; prop=spmm; K=10,feature_normalize=True,harness/provenance/fairvgnn_run_german.sh (GCNspmm full row),official-repo,"configuration variant of the primary GCN row, reported apart",,same_protocol
FairVGNN,GIN,german,GIN,controlled,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=yes, weight_clip=yes","f_mask=no, weight_clip=no",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",encoder=GIN; clip_e=1; d_epochs=10; g_epochs=5; c_epochs=10; c_lr=0.01; e_lr=0.01; c_wd=0; e_wd=0; ratio=1; top_k=10; alpha=1; hidden=16; dropout=0.5; prop=scatter; K=10,feature_normalize=True,harness/provenance/fairvgnn_run_german.sh (GIN full row),official-repo,"configuration variant of the primary GCN row, reported apart",,same_protocol
FairVGNN,SAGE,german,SAGE,controlled,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=yes, weight_clip=yes","f_mask=no, weight_clip=no",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",encoder=SAGE; clip_e=0.1; d_epochs=5; g_epochs=10; c_epochs=10; c_lr=0.001; e_lr=0.001; c_wd=0; e_wd=0; ratio=0.5; top_k=10; alpha=1; hidden=16; dropout=0.5; prop=scatter; K=10,feature_normalize=True,harness/provenance/fairvgnn_run_german.sh (SAGE full row),official-repo,"configuration variant of the primary GCN row, reported apart",,same_protocol
FairVGNN,GCN,bail,GCNspmm,controlled,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=yes, weight_clip=yes","f_mask=no, weight_clip=no",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",encoder=GCN; clip_e=1; d_epochs=5; g_epochs=10; c_epochs=10; c_lr=0.01; e_lr=0.001; c_wd=0; e_wd=0; ratio=1; top_k=10; alpha=1; hidden=16; dropout=0.5; prop=spmm; K=10,feature_normalize=False,harness/provenance/fairvgnn_run_bail.sh (GCNspmm full row),official-repo,"configuration variant of the primary GCN row, reported apart",,same_protocol
FairVGNN,SAGE,bail,SAGE,controlled,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=yes, weight_clip=yes","f_mask=no, weight_clip=no",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",encoder=SAGE; clip_e=0.1; d_epochs=5; g_epochs=5; c_epochs=5; c_lr=0.01; e_lr=0.001; c_wd=0; e_wd=0; ratio=1; top_k=10; alpha=1; hidden=16; dropout=0.5; prop=scatter; K=10,feature_normalize=False,harness/provenance/fairvgnn_run_bail.sh (SAGE full row),official-repo,"configuration variant of the primary GCN row, reported apart",,same_protocol
FairVGNN,GIN,credit,GIN,controlled,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=yes, weight_clip=yes","f_mask=no, weight_clip=no",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",encoder=GIN; clip_e=0.01; d_epochs=10; g_epochs=10; c_epochs=5; c_lr=0.01; e_lr=0.01; c_wd=0; e_wd=0; ratio=1; top_k=10; alpha=1; hidden=16; dropout=0.5; prop=scatter; K=10,feature_normalize=False,harness/provenance/fairvgnn_run_credit.sh (GIN full row),official-repo,"configuration variant of the primary GCN row, reported apart",,same_protocol
FairVGNN,SAGE,credit,SAGE,controlled,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=yes, weight_clip=yes","f_mask=no, weight_clip=no",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",encoder=SAGE; clip_e=0.1; d_epochs=5; g_epochs=5; c_epochs=5; c_lr=0.01; e_lr=0.001; c_wd=0; e_wd=0; ratio=0; top_k=10; alpha=1; hidden=16; dropout=0.5; prop=scatter; K=10,feature_normalize=False,harness/provenance/fairvgnn_run_credit.sh (SAGE full row),official-repo,"configuration variant of the primary GCN row, reported apart",,same_protocol
BeMap,GAT,bail,GAT,controlled,balance-aware neighbour sampling: a fresh fair subgraph each epoch,"train_bemap.train(epoch, ...) (sampled subgraph)","train_bemap.train(-1, ...) (full graph)",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",model=gat; lr=0.001; weight_decay=1e-05; hidden=128; dropout=0.5; beta=0.25; lam=0.5; save_num=4,BeMap feature_norm,"BeMap-main train_bemap.py --model gat, parser defaults",official-repo,"GAT keeps dropout active at evaluation (official forward); backbone variant, reported apart",,same_protocol
BeMap,GAT,credit,GAT,controlled,balance-aware neighbour sampling: a fresh fair subgraph each epoch,"train_bemap.train(epoch, ...) (sampled subgraph)","train_bemap.train(-1, ...) (full graph)",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",model=gat; lr=0.001; weight_decay=1e-05; hidden=128; dropout=0.5; beta=0.25; lam=0.5; save_num=4,BeMap feature_norm,"BeMap-main train_bemap.py --model gat, parser defaults",official-repo,"GAT keeps dropout active at evaluation (official forward); backbone variant, reported apart",,same_protocol
BeMap,GAT,pokec_z,GAT,controlled,balance-aware neighbour sampling: a fresh fair subgraph each epoch,"train_bemap.train(epoch, ...) (sampled subgraph)","train_bemap.train(-1, ...) (full graph)",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",model=gat; lr=0.001; weight_decay=1e-05; hidden=128; dropout=0.5; beta=0.25; lam=0.5; save_num=4,BeMap feature_norm,"BeMap-main train_bemap.py --model gat, parser defaults",official-repo,"GAT keeps dropout active at evaluation (official forward); backbone variant, reported apart",,same_protocol
FairGNN,GCN,pokec_z,upstreamGCN,controlled,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=100, beta=1","alpha=0, beta=0",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05,feature_normalize=False,FairGNN upstream src/scripts/pokec_z/train_fairGCN.sh (harness/provenance/fairgnn_upstream),official-repo,"upstream configuration; the primary cell keeps utils/param.json; recorded, not applied: --acc/--roc, --epochs, --sens_number; --num-hidden 128 (the wrapper builds at 64)",,same_protocol
FairGNN,GCN,pokec_n,upstreamGCN,controlled,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=50, beta=1","alpha=0, beta=0",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05,feature_normalize=False,FairGNN upstream src/scripts/pokec_n/train_fairGCN.sh (harness/provenance/fairgnn_upstream),official-repo,"upstream configuration; the primary cell keeps utils/param.json; recorded, not applied: --acc/--roc, --epochs, --sens_number; --num-hidden 128 (the wrapper builds at 64)",,same_protocol
FairGNN,GAT,pokec_z,upstreamGAT,controlled,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=10, beta=0.01","alpha=0, beta=0",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0","lr=0.001; weight_decay=1e-05; GAT_body: 1 layer, heads [1,1], hidden 64, feat_drop 0.5, attn_drop 0",feature_normalize=False,FairGNN upstream src/scripts/pokec_z/train_fairGAT.sh (harness/provenance/fairgnn_upstream),official-repo,"upstream configuration; the primary cell keeps utils/param.json; recorded, not applied: --acc/--roc, --epochs, --sens_number",,same_protocol
FairGNN,GAT,pokec_n,upstreamGAT,controlled,adversarial debiasing: a covariance constraint (alpha) and an adversary loss (beta) against a sensitive-attribute estimator,"alpha=4, beta=0.01","alpha=0, beta=0",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0","lr=0.001; weight_decay=1e-05; GAT_body: 1 layer, heads [1,1], hidden 64, feat_drop 0.5, attn_drop 0",feature_normalize=False,FairGNN upstream src/scripts/pokec_n/train_fairGAT.sh (harness/provenance/fairgnn_upstream),official-repo,"upstream configuration; the primary cell keeps utils/param.json; recorded, not applied: --acc/--roc, --epochs, --sens_number",,same_protocol
FnRGNN,GCN,german,default,controlled,"edge reweighting by feature similarity and sensitive difference, MMD representation alignment and GWN prediction normalisation","use_edge_weight, use_mmd, use_gwn = True","all three False (same GCN, unit edge weights)",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden_dim=64; dropout=0.547782; lambda2=1.67172; gamma=3.07383; lambda_dist=0.449911; lr=0.00342853; weight_decay=3.03456e-05; mmd_sample=500,StandardScaler over all nodes' features (FnRGNN loader); degree-0 nodes kept,FnRGNN-master/logs/best_configs/german_g_best_joint.json,official-repo class and configuration; harness-completed loop,"released for node regression: MSE replaced by BCE, losses restricted to training nodes, mmd_sample and H set by the harness; configuration tuned for a regression target; reported apart, never counted as primary",,same_protocol
FnRGNN,GCN,pokec_z,default,controlled,"edge reweighting by feature similarity and sensitive difference, MMD representation alignment and GWN prediction normalisation","use_edge_weight, use_mmd, use_gwn = True","all three False (same GCN, unit edge weights)",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden_dim=64; dropout=0.298272; lambda2=4.80138; gamma=3.13416; lambda_dist=2.21748; lr=0.00833019; weight_decay=3.24845e-05; mmd_sample=500,StandardScaler over all nodes' features (FnRGNN loader); degree-0 nodes kept,FnRGNN-master/logs/best_configs/region_job_r_best_joint.json,official-repo class and configuration; harness-completed loop,"released for node regression: MSE replaced by BCE, losses restricted to training nodes, mmd_sample and H set by the harness; configuration tuned for a regression target; reported apart, never counted as primary",,same_protocol
FnRGNN,GCN,pokec_n,default,controlled,"edge reweighting by feature similarity and sensitive difference, MMD representation alignment and GWN prediction normalisation","use_edge_weight, use_mmd, use_gwn = True","all three False (same GCN, unit edge weights)",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden_dim=32; dropout=0.207601; lambda2=3.20098; gamma=1.51892; lambda_dist=0.576156; lr=0.00291844; weight_decay=0.000152009; mmd_sample=500,StandardScaler over all nodes' features (FnRGNN loader); degree-0 nodes kept,FnRGNN-master/logs/best_configs/region_job_2_r_best_joint.json,official-repo class and configuration; harness-completed loop,"released for node regression: MSE replaced by BCE, losses restricted to training nodes, mmd_sample and H set by the harness; configuration tuned for a regression target; reported apart, never counted as primary",,same_protocol
NIFTY,GCN,german,default,native,counterfactual-and-noise invariance objective (sim_coeff) on a Lipschitz-constrained encoder,sim_coeff=0.6,sim_coeff=0.0,native horizon = 1000,"sigma_c^BCE (the controlled selector) for the reported estimate; the method's own published rule is replayed on the stored trajectory and recorded as code_epoch / m1pub_*, and sigma_c^AUC is also recorded",drop_edge_rate_1=0.001; drop_edge_rate_2=0.001; drop_feature_rate_1=0.1; drop_feature_rate_2=0.1; lr=0.001; num_hidden=16; num_proj_hidden=16; restore_train_drop_rates=True; sim_coeff=0.6; weight_decay=1e-05,feature_normalize=False; horizon 1000; training and validation-view drop rates from the official command,harness/provenance/nifty_README.md,official-repo,"targeted native validation, fixed in advance to probe protocol sensitivity; the baseline is the fixed controlled reference at H = 200",targeted,controlled_fixed_reference
FairVGNN,GCN,german,default,native,generative feature masking (f_mask) and weight clipping (weight_clip),"top_k=10, alpha=1, clip_e=0.1, ratio=0","f_mask=no, weight_clip=no",native horizon = 200,"sigma_c^BCE (the controlled selector) for the reported estimate; the method's own published rule is replayed on the stored trajectory and recorded as code_epoch / m1pub_*, and sigma_c^AUC is also recorded",K=10; alpha=1; c_epochs=10; c_lr=0.01; c_wd=0; clip_e=0.1; d_epochs=5; dropout=0.5; e_lr=0.001; e_wd=0; g_epochs=5; hidden=16; prop=scatter; ratio=0; top_k=10; vg_wrapper_normalize=False,feature_normalize=False; horizon 200; feature normalization off (official dataset.py rule); harness pre-norm and wrapper norm disabled,harness/provenance/fairvgnn_run_german.sh,official-repo,"targeted native validation, fixed in advance to probe protocol sensitivity; the baseline is the fixed controlled reference at H = 200",targeted,controlled_fixed_reference
FairVGNN,GCN,bail,default,native,generative feature masking (f_mask) and weight clipping (weight_clip),"top_k=10, alpha=1, clip_e=1, ratio=1","f_mask=no, weight_clip=no",native horizon = 300,"sigma_c^BCE (the controlled selector) for the reported estimate; the method's own published rule is replayed on the stored trajectory and recorded as code_epoch / m1pub_*, and sigma_c^AUC is also recorded",K=10; alpha=1; c_epochs=10; c_lr=0.01; c_wd=0; clip_e=1; d_epochs=5; dropout=0.5; e_lr=0.001; e_wd=0; g_epochs=10; hidden=16; prop=scatter; ratio=1; top_k=10; vg_wrapper_normalize=True,feature_normalize=False; horizon 300,harness/provenance/fairvgnn_run_bail.sh,official-repo,"targeted native validation, fixed in advance to probe protocol sensitivity; the baseline is the fixed controlled reference at H = 200",targeted,controlled_fixed_reference
FairVGNN,GCN,credit,default,native,generative feature masking (f_mask) and weight clipping (weight_clip),"top_k=10, alpha=1, clip_e=1, ratio=0","f_mask=no, weight_clip=no",native horizon = 200,"sigma_c^BCE (the controlled selector) for the reported estimate; the method's own published rule is replayed on the stored trajectory and recorded as code_epoch / m1pub_*, and sigma_c^AUC is also recorded",K=10; alpha=1; c_epochs=5; c_lr=0.01; c_wd=0; clip_c=1.0; clip_e=1; d_epochs=5; dropout=0.5; e_lr=0.01; e_wd=0; fairvgnn_credit_adapter=True; g_epochs=10; hidden=16; prop=scatter; ratio=0; top_k=10; vg_wrapper_normalize=True,"feature_normalize=False; horizon 200; training loop from fairvgnn_credit.py via harness/adapters/fairvgnn_credit_native.py (clip_c=1.0, official-repo-default)",harness/provenance/fairvgnn_run_credit.sh,official-repo,"targeted native validation, fixed in advance to probe protocol sensitivity; the baseline is the fixed controlled reference at H = 200",targeted,controlled_fixed_reference
