method,dataset,configuration,shared_backbone,claimed_intervention,m_minus_I_state,m_plus_I_state,shared_horizon,shared_checkpoint_selector,shared_optimizer_and_hyperparameters,shared_preprocessing,source_file_or_command,provenance,qualification,shared_split_and_seeds,shared_evaluator
FairSIN,german,SAGE,SAGE,neutralisation x + delta*MLP(x) and the discriminator step,"delta=0, d='no'","delta=1.0, d='yes'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=36; c_lr=0.01; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=10; dropout=0.0; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:99 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairSIN,pokec_n,GCN,GCN,neutralisation x + delta*MLP(x),"delta=0, d='no'","delta=1.0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:68 (ablation block), script in-train.py",official-repo,primary backbone,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairSIN,pokec_n,GIN,GIN,neutralisation x + delta*MLP(x),"delta=0, d='no'","delta=1.0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:90 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairSIN,pokec_n,SAGE,SAGE,neutralisation x + delta*MLP(x),"delta=0, d='no'","delta=1.0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:113 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairSIN,pokec_z,GCN,GCN,neutralisation x + delta*MLP(x),"delta=0, d='no'","delta=1.0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:71 (ablation block), script in-train.py",official-repo,primary backbone,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairSIN,pokec_z,GIN,GIN,neutralisation x + delta*MLP(x),"delta=0, d='no'","delta=1.0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:93 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairSIN,pokec_z,SAGE,SAGE,neutralisation x + delta*MLP(x),"delta=0, d='no'","delta=1.0, d='no'",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=18; c_lr=0.1; e_lr=0.01; c_wd=0.0; e_wd=0.0; d_lr=0.01; d_wd=0.0; c_epochs=10; d_epochs=5; m_epoch=20; dropout=0.5; alpha=1.0; prop=scatter; m_lr=0.1,german raw; others feature_norm with the sensitive column kept,"FairSIN-main/experiment.sh:116 (ablation block), script in-train.py",official-repo,"backbone variant, reported apart, never pooled","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairVGNN,bail,GCNspmm,GCN,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=no, weight_clip=no","f_mask=yes, weight_clip=yes",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",encoder=GCN; clip_e=1; d_epochs=5; g_epochs=10; c_epochs=10; c_lr=0.01; e_lr=0.001; c_wd=0; e_wd=0; ratio=1; top_k=10; alpha=1; hidden=16; dropout=0.5; prop=spmm; K=10,feature_normalize=False,harness/provenance/fairvgnn_run_bail.sh (GCNspmm full row),official-repo,"configuration variant of the primary GCN row, reported apart","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairVGNN,bail,SAGE,SAGE,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=no, weight_clip=no","f_mask=yes, weight_clip=yes",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",encoder=SAGE; clip_e=0.1; d_epochs=5; g_epochs=5; c_epochs=5; c_lr=0.01; e_lr=0.001; c_wd=0; e_wd=0; ratio=1; top_k=10; alpha=1; hidden=16; dropout=0.5; prop=scatter; K=10,feature_normalize=False,harness/provenance/fairvgnn_run_bail.sh (SAGE full row),official-repo,"configuration variant of the primary GCN row, reported apart","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairVGNN,bail,default,GCN,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=no, weight_clip=no","top_k=10, alpha=1, clip_e=1, ratio=1",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",K=10; alpha=1; c_epochs=10; c_lr=0.01; c_wd=0; clip_e=1; d_epochs=5; dropout=0.5; e_lr=0.001; e_wd=0; g_epochs=10; hidden=16; prop=scatter; ratio=1; top_k=10,feature_normalize=False,harness/provenance/fairvgnn_run_bail.sh,official-repo,"official ablation retunes c_lr:0.01->0.001, epochs:300->200, g_epochs:10->5; official-repo-default (the authors' script runs this dataset but leaves these at fairvgnn.py's parser default): K, alpha, c_wd, dropout, e_wd, hidden, prop, top_k; param.json disagrees (top_k/alpha [5, 1] vs official 10/1)","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairVGNN,credit,GIN,GIN,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=no, weight_clip=no","f_mask=yes, weight_clip=yes",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",encoder=GIN; clip_e=0.01; d_epochs=10; g_epochs=10; c_epochs=5; c_lr=0.01; e_lr=0.01; c_wd=0; e_wd=0; ratio=1; top_k=10; alpha=1; hidden=16; dropout=0.5; prop=scatter; K=10,feature_normalize=False,harness/provenance/fairvgnn_run_credit.sh (GIN full row),official-repo,"configuration variant of the primary GCN row, reported apart","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairVGNN,credit,SAGE,SAGE,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=no, weight_clip=no","f_mask=yes, weight_clip=yes",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",encoder=SAGE; clip_e=0.1; d_epochs=5; g_epochs=5; c_epochs=5; c_lr=0.01; e_lr=0.001; c_wd=0; e_wd=0; ratio=0; top_k=10; alpha=1; hidden=16; dropout=0.5; prop=scatter; K=10,feature_normalize=False,harness/provenance/fairvgnn_run_credit.sh (SAGE full row),official-repo,"configuration variant of the primary GCN row, reported apart","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairVGNN,credit,default,GCN,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=no, weight_clip=no","top_k=10, alpha=1, clip_e=1, ratio=0",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",K=10; alpha=1; c_epochs=5; c_lr=0.01; c_wd=0; clip_e=1; d_epochs=5; dropout=0.5; e_lr=0.01; e_wd=0; g_epochs=10; hidden=16; prop=scatter; ratio=0; top_k=10,feature_normalize=False,harness/provenance/fairvgnn_run_credit.sh,official-repo,"official ablation retunes g_epochs:10->5, ratio:0->1; official-repo-default (the authors' script runs this dataset but leaves these at fairvgnn.py's parser default): K, alpha, c_wd, dropout, e_wd, hidden, prop, top_k; param.json disagrees (top_k/alpha [5, 0.5] vs official 10/1)","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairVGNN,german,GCNspmm,GCN,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=no, weight_clip=no","f_mask=yes, weight_clip=yes",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",encoder=GCN; clip_e=0.1; d_epochs=5; g_epochs=5; c_epochs=5; c_lr=0.01; e_lr=0.001; c_wd=0; e_wd=0; ratio=0.5; top_k=10; alpha=1; hidden=16; dropout=0.5; prop=spmm; K=10,feature_normalize=True,harness/provenance/fairvgnn_run_german.sh (GCNspmm full row),official-repo,"configuration variant of the primary GCN row, reported apart","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairVGNN,german,GIN,GIN,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=no, weight_clip=no","f_mask=yes, weight_clip=yes",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",encoder=GIN; clip_e=1; d_epochs=10; g_epochs=5; c_epochs=10; c_lr=0.01; e_lr=0.01; c_wd=0; e_wd=0; ratio=1; top_k=10; alpha=1; hidden=16; dropout=0.5; prop=scatter; K=10,feature_normalize=True,harness/provenance/fairvgnn_run_german.sh (GIN full row),official-repo,"configuration variant of the primary GCN row, reported apart","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairVGNN,german,SAGE,SAGE,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=no, weight_clip=no","f_mask=yes, weight_clip=yes",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",encoder=SAGE; clip_e=0.1; d_epochs=5; g_epochs=10; c_epochs=10; c_lr=0.001; e_lr=0.001; c_wd=0; e_wd=0; ratio=0.5; top_k=10; alpha=1; hidden=16; dropout=0.5; prop=scatter; K=10,feature_normalize=True,harness/provenance/fairvgnn_run_german.sh (SAGE full row),official-repo,"configuration variant of the primary GCN row, reported apart","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FairVGNN,german,default,GCN,generative feature masking (f_mask) and weight clipping (weight_clip),"f_mask=no, weight_clip=no","top_k=10, alpha=1, clip_e=0.1, ratio=0",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",K=10; alpha=1; c_epochs=10; c_lr=0.01; c_wd=0; clip_e=0.1; d_epochs=5; dropout=0.5; e_lr=0.001; e_wd=0; g_epochs=5; hidden=16; prop=scatter; ratio=0; top_k=10,feature_normalize=True,harness/provenance/fairvgnn_run_german.sh,official-repo,"official ablation retunes clip_e:0.1->1, e_lr:0.001->0.01, ratio:0->1; official-repo-default (the authors' script runs this dataset but leaves these at fairvgnn.py's parser default): K, alpha, c_wd, dropout, e_wd, hidden, prop, top_k, epochs; param.json disagrees (top_k/alpha [5, 0.5] vs official 10/1)","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FnRGNN,german,default,GCN,"edge reweighting by feature similarity and sensitive difference, MMD representation alignment and GWN prediction normalisation","all three False (same GCN, unit edge weights)","use_edge_weight, use_mmd, use_gwn = True",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden_dim=64; dropout=0.547782; lambda2=1.67172; gamma=3.07383; lambda_dist=0.449911; lr=0.00342853; weight_decay=3.03456e-05; mmd_sample=500,StandardScaler over all nodes' features (FnRGNN loader); degree-0 nodes kept,FnRGNN-master/logs/best_configs/german_g_best_joint.json,official-repo class and configuration; harness-completed loop,"released for node regression: MSE replaced by BCE, losses restricted to training nodes, mmd_sample and H set by the harness; configuration tuned for a regression target; reported apart, never counted as primary","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FnRGNN,german,regression (released task),GCN,"edge reweighting by feature similarity and sensitive difference, MMD representation alignment and GWN prediction normalisation","all three False (same GCN, unit edge weights)","use_edge_weight, use_mmd, use_gwn = True",H = 200,"smallest validation MSE (strict <, earliest tie)",hidden_dim=64; dropout=0.547782; lambda2=1.67172; gamma=3.07383; lambda_dist=0.449911; lr=0.00342853; weight_decay=3.03456e-05; mmd_sample=500; loss MSE (released),"target = LoanAmount, removed from the features and standardised with the training nodes' statistics; features StandardScaler (FnRGNN loader); B: the common GCN at published('GNN', ds) trained with MSE",FnRGNN-master/logs/best_configs/german_g_best_joint.json,official-repo class and configuration; harness-completed loop,"released task kept (node regression); training loop completed by the harness (training-node mask, mmd_sample, H, selection); regression metrics, not comparable with the classification sections","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FnRGNN,pokec_n,default,GCN,"edge reweighting by feature similarity and sensitive difference, MMD representation alignment and GWN prediction normalisation","all three False (same GCN, unit edge weights)","use_edge_weight, use_mmd, use_gwn = True",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden_dim=32; dropout=0.207601; lambda2=3.20098; gamma=1.51892; lambda_dist=0.576156; lr=0.00291844; weight_decay=0.000152009; mmd_sample=500,StandardScaler over all nodes' features (FnRGNN loader); degree-0 nodes kept,FnRGNN-master/logs/best_configs/region_job_2_r_best_joint.json,official-repo class and configuration; harness-completed loop,"released for node regression: MSE replaced by BCE, losses restricted to training nodes, mmd_sample and H set by the harness; configuration tuned for a regression target; reported apart, never counted as primary","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FnRGNN,pokec_n,regression (released task),GCN,"edge reweighting by feature similarity and sensitive difference, MMD representation alignment and GWN prediction normalisation","all three False (same GCN, unit edge weights)","use_edge_weight, use_mmd, use_gwn = True",H = 200,"smallest validation MSE (strict <, earliest tie)",hidden_dim=32; dropout=0.207601; lambda2=3.20098; gamma=1.51892; lambda_dist=0.576156; lr=0.00291844; weight_decay=0.000152009; mmd_sample=500; loss MSE (released),"target = completion_percentage, removed from the features and standardised with the training nodes' statistics; features StandardScaler (FnRGNN loader); B: the common GCN at published('GNN', ds) trained with MSE",FnRGNN-master/logs/best_configs/region_job_2_r_best_joint.json,official-repo class and configuration; harness-completed loop,"released task kept (node regression); training loop completed by the harness (training-node mask, mmd_sample, H, selection); regression metrics, not comparable with the classification sections","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FnRGNN,pokec_z,default,GCN,"edge reweighting by feature similarity and sensitive difference, MMD representation alignment and GWN prediction normalisation","all three False (same GCN, unit edge weights)","use_edge_weight, use_mmd, use_gwn = True",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden_dim=64; dropout=0.298272; lambda2=4.80138; gamma=3.13416; lambda_dist=2.21748; lr=0.00833019; weight_decay=3.24845e-05; mmd_sample=500,StandardScaler over all nodes' features (FnRGNN loader); degree-0 nodes kept,FnRGNN-master/logs/best_configs/region_job_r_best_joint.json,official-repo class and configuration; harness-completed loop,"released for node regression: MSE replaced by BCE, losses restricted to training nodes, mmd_sample and H set by the harness; configuration tuned for a regression target; reported apart, never counted as primary","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
FnRGNN,pokec_z,regression (released task),GCN,"edge reweighting by feature similarity and sensitive difference, MMD representation alignment and GWN prediction normalisation","all three False (same GCN, unit edge weights)","use_edge_weight, use_mmd, use_gwn = True",H = 200,"smallest validation MSE (strict <, earliest tie)",hidden_dim=64; dropout=0.298272; lambda2=4.80138; gamma=3.13416; lambda_dist=2.21748; lr=0.00833019; weight_decay=3.24845e-05; mmd_sample=500; loss MSE (released),"target = completion_percentage, removed from the features and standardised with the training nodes' statistics; features StandardScaler (FnRGNN loader); B: the common GCN at published('GNN', ds) trained with MSE",FnRGNN-master/logs/best_configs/region_job_r_best_joint.json,official-repo class and configuration; harness-completed loop,"released task kept (node regression); training loop completed by the harness (training-node mask, mmd_sample, H, selection); regression metrics, not comparable with the classification sections","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
GEAR,bail,default,SAGE,counterfactual-consistency (similarity) objective,sim_coeff=0,sim_coeff=0.6,H = 200 mini-batch steps,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; weight_decay=1e-05; hidden_size=1024; proj_hidden=16; dropout=0.5; batch_size=100; subgraph_size=30; n_order=10,GEAR feature_norm with the sensitive column kept; PPR subgraphs,"GEAR-main/src/main.py parser defaults, --dataset bail",official-repo (released aug assets),"released counterfactual assets are sensitive-attribute flips on the unchanged graph, not CFGT outputs","6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
NIFTY,bail,default,GCN,counterfactual-and-noise invariance objective (sim_coeff) on a Lipschitz-constrained encoder,sim_coeff=0.0,repository configuration,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=8; num_proj_hidden=4; weight_decay=1e-05,feature_normalize=False,utils/param.json,local-unverified,NIFTY's repository states german only; this dataset has no command in any artifact,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
NIFTY,credit,default,GCN,counterfactual-and-noise invariance objective (sim_coeff) on a Lipschitz-constrained encoder,sim_coeff=0.0,repository configuration,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=8; num_proj_hidden=8; weight_decay=1e-05,feature_normalize=False,utils/param.json,local-unverified,NIFTY's repository states german only; this dataset has no command in any artifact,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
NIFTY,german,default,GCN,counterfactual-and-noise invariance objective (sim_coeff) on a Lipschitz-constrained encoder,sim_coeff=0.0,sim_coeff=0.6,H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",lr=0.001; num_hidden=16; num_proj_hidden=16; sim_coeff=0.6; weight_decay=1e-05,feature_normalize=False,harness/provenance/nifty_README.md,official-repo,,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
SFG,bail,default,SAGE,Lipschitz constraint on the encoder (rho) with the stronger chi-square DRO generator loss,"no constraint, loss_alpha=1 (the authors' FairVGNN row)","with_constraint, rho=2.0, loss_alpha=0.5",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=16; c_lr=0.01; e_lr=0.001; c_wd=0.0; e_wd=0.0; top_k=10; clip_e=0.1; ratio=1.0; d_epochs=5; g_epochs=10; c_epochs=5; K=10; dropout=0.5,german raw; others normalised with the sensitive column kept,"SFG-main/run.sh ablation ladder, script sfg.py",official-repo,,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
SFG,credit,default,SAGE,Lipschitz constraint on the encoder (rho) with the stronger chi-square DRO generator loss,"no constraint, loss_alpha=1 (the authors' FairVGNN row)","with_constraint, rho=2.0, loss_alpha=0.5",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=16; c_lr=0.01; e_lr=0.001; c_wd=0.0; e_wd=0.0; top_k=10; clip_e=0.1; ratio=0.0; d_epochs=5; g_epochs=5; c_epochs=10; K=10; dropout=0.5,german raw; others normalised with the sensitive column kept,"SFG-main/run.sh ablation ladder, script sfg_credit.py",official-repo,,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
SFG,german,default,SAGE,Lipschitz constraint on the encoder (rho) with the stronger chi-square DRO generator loss,"no constraint, loss_alpha=1 (the authors' FairVGNN row)","with_constraint, rho=2.0, loss_alpha=0.5",H = 200,"sigma_c^BCE (primary), sigma_c^AUC (robustness), common evaluator, decision score>0",hidden=16; c_lr=0.001; e_lr=0.01; c_wd=0.0; e_wd=0.0; top_k=10; clip_e=0.1; ratio=0.5; d_epochs=5; g_epochs=10; c_epochs=10; K=10; dropout=0.5,german raw; others normalised with the sensitive column kept,"SFG-main/run.sh ablation ladder, script sfg.py",official-repo,,"6 splits (20-25) x 5 runs, seed = 27 + run, paired M0/M1","harness/core/evaluator.py, decision q > 0"
